gene,alias
ADSL,ADSL
ADSS2,ADEH
ADSS2,ADSS
ADSS2,ADSS 2
ADSS2,ADSS2
AP2A1,ADTAA
AP2A1,AP2-ALPHA
AP2A1,CLAPA1
AP2A1,AP2A1
AP2A2,ADTAB
AP2A2,CLAPA2
AP2A2,HIP-9
AP2A2,HIP9
AP2A2,HYPJ
AP2A2,AP2A2
AP1B1,ADTB1
AP1B1,AP105A
AP1B1,BAM22
AP1B1,CLAPB2
AP1B1,KIDAR
AP1B1,AP1B1
AP2B1,ADTB2
AP2B1,AP105B
AP2B1,AP2-BETA
AP2B1,CLAPB1
AP2B1,AP2B1
AP1G1,ADTG
AP1G1,CLAPG1
AP1G1,AP1G1
AEBP1,ACLP
AEBP1,AEBP1
TLE5,AES
TLE5,AES-1
TLE5,AES-2
TLE5,ESP1
TLE5,GRG
TLE5,GRG5
TLE5,Grg-5
TLE5,TLE5
CRISP1,AEGL1
CRISP1,ARP
CRISP1,CRISP-1
CRISP1,HEL-S-57
CRISP1,HSCRISP1D
CRISP1,HSCRISP1G
CRISP1,HUMARP
CRISP1,CRISP1
AF8T,AF8T
AFA,AFA
AFD1,AFDN
AFD1,AFD1
AFG3L1P,AFG3
AFG3L1P,AFG3L1
AFG3L1P,AFG3L1P
AFM,ALB2
AFM,ALBA
AFM,ALF
AFM,AFM
AFP,AFPD
AFP,FETA
AFP,HPAFP
AFP,AFP
AGA,AGU
AGA,ASRG
AGA,GA
AGA,AGA
ACAN,AGC1
ACAN,AGCAN
ACAN,CSPG1
ACAN,CSPGCP
ACAN,MSK16
ACAN,SEDK
ACAN,SSOAOD
ACAN,ACAN
AGER,RAGE
AGER,SCARJ1
AGER,sRAGE
AGER,AGER
AGL,GDE
AGL,AGL
AGMX2,IMD6
AGMX2,XLA2
AGMX2,AGMX2
AGRP,AGRT
AGRP,ART
AGRP,ASIP2
AGRP,AGRP
JAG1,AGS
JAG1,AGS1
JAG1,AHD
JAG1,AWS
JAG1,CD339
JAG1,DCHE
JAG1,HJ1
JAG1,JAGL1
JAG1,JAG1
AGT,ANHU
AGT,SERPINA8
AGT,hFLT1
AGT,AGT
AGTR1,AG2S
AGTR1,AGTR1B
AGTR1,AT1
AGTR1,AT1AR
AGTR1,AT1B
AGTR1,AT1BR
AGTR1,AT1R
AGTR1,AT2R1
AGTR1,HAT1R
AGTR1,AGTR1
AGTR2,AT2
AGTR2,ATGR2
AGTR2,MRX88
AGTR2,AGTR2
APLNR,AGTRL1
APLNR,APJ
APLNR,APJR
APLNR,HG11
APLNR,APLNR
AGXT,AGT
AGXT,AGT1
AGXT,AGXT1
AGXT,PH1
AGXT,SPAT
AGXT,SPT
AGXT,TLH6
AGXT,AGXT
NR0B1,AHC
NR0B1,AHCH
NR0B1,AHX
NR0B1,DAX-1
NR0B1,DAX1
NR0B1,DSS
NR0B1,GTD
NR0B1,HHG
NR0B1,NROB1
NR0B1,SRXY2
NR0B1,NR0B1
AHCY,SAHH
AHCY,adoHcyase
AHCY,AHCY
AIC,AIC
AHR,RP85
AHR,bHLHe76
AHR,AHR
AHSG,A2HS
AHSG,AHS
AHSG,APMR1
AHSG,FETUA
AHSG,HSGA
AHSG,AHSG
AIF1,AIF-1
AIF1,IBA1
AIF1,IRT-1
AIF1,IRT1
AIF1,AIF1
AIH3,AIH3
CRYBG1,AIM1
CRYBG1,ST4
CRYBG1,CRYBG1
AK1,HTL-S-58j
AK1,AK1
AK2,ADK2
AK2,AK2
AK4,AK 4
AK4,AK3
AK4,AK3L1
AK4,AK3L2
AK4,AK4
AK4P1,AK3P1
AK4P1,AK4P1
AKT1,AKT
AKT1,PKB
AKT1,PKB-ALPHA
AKT1,PRKBA
AKT1,RAC
AKT1,RAC-ALPHA
AKT1,AKT1
AKT2,HIHGHH
AKT2,PKBB
AKT2,PKBBETA
AKT2,PRKBB
AKT2,RAC-BETA
AKT2,AKT2
ALAD,ALADH
ALAD,PBGS
ALAD,ALAD
ALAS1,ALAS
ALAS1,ALAS-H
ALAS1,ALAS3
ALAS1,ALASH
ALAS1,MIG4
ALAS1,ALAS1
ALAS2,ALAS-E
ALAS2,ALASE
ALAS2,ANH1
ALAS2,ASB
ALAS2,SIDBA1
ALAS2,XLDPP
ALAS2,XLEPP
ALAS2,XLSA
ALAS2,ALAS2
ALB,FDAHT
ALB,HSA
ALB,PRO0883
ALB,PRO0903
